country,region,name,url,phone
usstores,Alabama,"Birmingham, The Summit",https://www.apple.com/retail/thesummit/,(205) 909-2570
usstores,Alabama,"Huntsville, Bridge Street",https://www.apple.com/retail/bridgestreet/,(256) 327-8800
usstores,Alaska,"Anchorage, Anchorage 5th Avenue Mall",https://www.apple.com/retail/anchorage5thavenuemall/,(907) 257-1900
usstores,Arizona,"Chandler, Chandler Fashion Center",https://www.apple.com/retail/chandlerfashioncenter/,(480) 636-3900
usstores,Arizona,"Gilbert, SanTan Village",https://www.apple.com/retail/santanvillage/,(480) 366-8477
usstores,Arizona,"Glendale, Arrowhead",https://www.apple.com/retail/arrowhead/,(623) 707-2860
usstores,Arizona,"Scottsdale, Scottsdale Fashion Square",https://www.apple.com/retail/scottsdalefashionsquare/,(602) 606-1470
usstores,Arizona,"Scottsdale, Scottsdale Quarter",https://www.apple.com/retail/scottsdalequarter/,(480) 627-5501
usstores,Arizona,"Tucson, La Encantada",https://www.apple.com/retail/laencantada/,(520) 209-7440
usstores,Arkansas,"Little Rock, The Promenade at Chenal",https://www.apple.com/retail/thepromenadeatchenal/,(501) 821-5130
usstores,California,"Bakersfield, Valley Plaza",https://www.apple.com/retail/valleyplaza/,(661) 396-3480
usstores,California,"Berkeley, 4th Street",https://www.apple.com/retail/4thstreet/,(510) 898-3341
usstores,California,"Brea, Brea Mall",https://www.apple.com/retail/breamall/,(714) 989-5550
usstores,California,"Burlingame, Burlingame",https://www.apple.com/retail/burlingame/,(650) 645-8930
usstores,California,"Canoga Park, Topanga",https://www.apple.com/retail/topanga/,(818) 577-1800
usstores,California,"Carlsbad, Carlsbad",https://www.apple.com/retail/carlsbad/,(760) 697-9800
usstores,California,"Cerritos, Los Cerritos",https://www.apple.com/retail/loscerritos/,(562) 356-1555
usstores,California,"Chula Vista, Otay Ranch",https://www.apple.com/retail/otayranch/,(619) 205-6400
usstores,California,"Corte Madera, Corte Madera",https://www.apple.com/retail/cortemadera/,(415) 413-9120
usstores,California,"Costa Mesa, South Coast Plaza",https://www.apple.com/retail/southcoastplaza/,(714) 424-6331
usstores,California,"Cupertino, Apple Park Visitor Center",https://www.apple.com/retail/appleparkvisitorcenter/,
usstores,California,"Cupertino, Infinite Loop",https://www.apple.com/retail/infiniteloop/,(408) 606-5775
usstores,California,"Emeryville, Bay Street",https://www.apple.com/retail/baystreet/,(510) 350-2400
usstores,California,"Escondido, North County",https://www.apple.com/retail/northcounty/,(760) 317-2484
usstores,California,"Fresno, Fashion Fair",https://www.apple.com/retail/fashionfair/,(559) 244-3400
usstores,California,"Glendale, Glendale Galleria",https://www.apple.com/retail/glendalegalleria/,(818) 502-8310
usstores,California,"Glendale, The Americana at Brand",https://www.apple.com/retail/theamericanaatbrand/,(818) 254-1070
usstores,California,"Irvine, Irvine Spectrum Center",https://www.apple.com/retail/irvinespectrumcenter/,(949) 255-1500
usstores,California,"Los Angeles, Beverly Center",https://www.apple.com/retail/beverlycenter/,(424) 239-3880
usstores,California,"Los Angeles, Century City",https://www.apple.com/retail/centurycity/,(424) 204-4290
usstores,California,"Los Angeles, The Grove",https://www.apple.com/retail/thegrove/,(323) 617-9800
usstores,California,"Los Gatos, Los Gatos",https://www.apple.com/retail/losgatos/,(408) 399-3880
usstores,California,"Manhattan Beach, Manhattan Village",https://www.apple.com/retail/manhattanvillage/,(310) 421-3720
usstores,California,"Mission Viejo, Mission Viejo",https://www.apple.com/retail/missionviejo/,(949) 325-6426
usstores,California,"Modesto, Vintage Faire",https://www.apple.com/retail/vintagefaire/,(209) 342-1500
usstores,California,"Monterey, Del Monte",https://www.apple.com/retail/delmonte/,(831) 647-4480
usstores,California,"Newport Beach, Fashion Island",https://www.apple.com/retail/fashionisland/,(949) 629-9717
usstores,California,"Northridge, Northridge",https://www.apple.com/retail/northridge/,(818) 477-9010
usstores,California,"Palm Desert, El Paseo Village",https://www.apple.com/retail/elpaseovillage/,(760) 862-9710
usstores,California,"Palo Alto, Palo Alto",https://www.apple.com/retail/paloalto/,(650) 798-2800
usstores,California,"Palo Alto, Stanford",https://www.apple.com/retail/stanford/,(650) 798-6180
usstores,California,"Pasadena, Pasadena",https://www.apple.com/retail/pasadena/,(626) 463-6223
usstores,California,"Pleasanton, Stoneridge Mall",https://www.apple.com/retail/stoneridgemall/,(925) 398-1962
usstores,California,"Rancho Cucamonga, Victoria Gardens",https://www.apple.com/retail/victoriagardens/,(909) 803-5220
usstores,California,"Roseville, Roseville",https://www.apple.com/retail/roseville/,(916) 872-2506
usstores,California,"Sacramento, Arden Fair",https://www.apple.com/retail/ardenfair/,(916) 830-5610
usstores,California,"San Diego, Fashion Valley",https://www.apple.com/retail/fashionvalley/,(619) 682-3477
usstores,California,"San Diego, UTC",https://www.apple.com/retail/utc/,(858) 795-6870
usstores,California,"San Francisco, Chestnut Street",https://www.apple.com/retail/chestnutstreet/,(415) 848-4445
usstores,California,"San Francisco, Stonestown",https://www.apple.com/retail/stonestown/,(415) 571-2780
usstores,California,"San Francisco, Union Square",https://www.apple.com/retail/unionsquare/,(415) 486-4800
usstores,California,"San Jose, Oakridge",https://www.apple.com/retail/oakridge/,(408) 960-0110
usstores,California,"San Luis Obispo, Higuera Street",https://www.apple.com/retail/higuerastreet/,(805) 542-8800
usstores,California,"San Mateo, Hillsdale",https://www.apple.com/retail/hillsdale/,(650) 645-4800
usstores,California,"Santa Barbara, State Street",https://www.apple.com/retail/statestreet/,(805) 560-1500
usstores,California,"Santa Clara, Valley Fair",https://www.apple.com/retail/valleyfair/,(408) 551-2150
usstores,California,"Santa Monica, Third Street Promenade",https://www.apple.com/retail/thirdstreetpromenade/,(310) 633-2670
usstores,California,"Santa Rosa, Santa Rosa Plaza",https://www.apple.com/retail/santarosaplaza/,(707) 508-3500
usstores,California,"Sherman Oaks, Sherman Oaks",https://www.apple.com/retail/shermanoaks/,(818) 464-3080
